mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2
122,2023-08-01 12:53:12,51.0358497,3.7098829,30.0,31.0,193.0,269.0,801.0,798.0,79.0,79.0,77.0,77.0
122,2023-08-01 00:32:55,51.0399604,3.6949068,27.0,28.0,193.0,272.0,805.0,798.0,80.0,79.0,77.0,75.0
122,2023-08-01 17:00:17,51.0352444,3.712486,37.0,41.0,182.0,241.0,800.0,798.0,82.0,86.0,85.0,87.0
122,2023-08-01 03:00:01,51.0399784,3.6949748,28.0,30.0,193.0,269.0,800.0,803.0,80.0,79.0,76.0,76.0
122,2023-08-01 13:41:09,50.8688697,3.8146988,40.0,37.0,175.0,231.0,809.0,803.0,84.0,86.0,85.0,86.0
122,2023-08-01 06:13:23,51.0358894,3.7097314,38.0,33.0,186.0,255.0,800.0,803.0,79.0,81.0,81.0,82.0
122,2023-08-01 05:37:19,50.8708651,3.6238143,41.0,34.0,186.0,248.0,804.0,797.0,81.0,85.0,84.0,84.0
122,2023-08-01 15:01:09,51.0357428,3.7105626,37.0,38.0,186.0,238.0,803.0,806.0,80.0,85.0,85.0,84.0
122,2023-08-01 15:31:11,50.9185948,3.792301,38.0,38.0,172.0,213.0,802.0,802.0,90.0,90.0,92.0,92.0
122,2023-08-01 00:49:17,51.0400931,3.6943337,28.0,28.0,196.0,272.0,797.0,798.0,79.0,79.0,77.0,77.0
122,2023-08-01 03:53:00,51.0356971,3.7104878,30.0,28.0,196.0,272.0,803.0,801.0,80.0,80.0,77.0,77.0
122,2023-08-01 03:53:40,51.0356854,3.7104549,30.0,28.0,196.0,265.0,796.0,797.0,80.0,80.0,79.0,77.0
122,2023-08-02 07:42:35,51.04007585,3.6930852,29.0,29.0,200.0,282.0,801.0,797.0,80.0,80.0,74.0,73.0
122,2023-08-02 12:59:31,51.0401329,3.6927934,31.0,36.0,189.0,265.0,796.0,799.0,79.0,79.0,77.0,76.0
122,2023-08-02 16:11:43,51.0325502,3.7360641,42.0,41.0,276.0,396.0,1285.0,1294.0,83.0,86.0,85.0,85.0
122,2023-08-01 21:45:24,50.8334428,3.8121878,38.0,37.0,175.0,231.0,804.0,800.0,83.0,82.0,88.0,87.0
122,2023-08-02 13:11:28,51.0401098,3.6927695,31.0,36.0,189.0,262.0,797.0,800.0,79.0,79.0,76.0,74.0
122,2023-08-02 20:32:37,50.914569,3.7956893,47.0,45.0,296.0,414.0,1891.0,1922.0,92.0,91.0,93.0,91.0
122,2023-08-02 07:55:34,51.0400042,3.6933724,30.0,28.0,189.0,269.0,801.0,816.0,80.0,80.0,76.0,76.0
122,2023-08-01 21:48:14,50.8157697,3.8272661,42.0,40.0,172.0,231.0,802.0,800.0,86.0,86.0,87.0,89.0
122,2023-08-02 15:54:42,51.0316515,3.7328234,38.0,38.0,169.0,224.0,796.0,804.0,87.0,86.0,89.0,85.0
122,2023-08-02 17:18:33,50.8641281,3.8135876,40.0,37.0,172.0,220.0,799.0,804.0,85.0,88.0,85.0,86.0
122,2023-08-02 13:00:32,51.0401532,3.6927864,31.0,36.0,193.0,265.0,801.0,798.0,79.0,79.0,77.0,76.0
122,2023-08-02 09:30:40,51.0358709,3.7104431,31.0,30.0,338.0,441.0,1375.0,1290.0,79.0,79.0,76.0,74.0
122,2023-08-02 03:55:29,51.0353962,3.7101197,43.0,38.0,175.0,234.0,798.0,792.0,82.0,85.0,84.0,85.0
122,2023-08-03 05:53:29,50.9002944,4.0601914,39.0,37.0,210.0,293.0,959.0,931.0,81.0,83.0,86.0,84.0
122,2023-08-03 08:32:34,51.0212522,3.763217,29.0,35.0,175.0,255.0,803.0,807.0,87.0,78.0,82.0,79.0
122,2023-08-03 08:46:33,50.9931585,3.8190908,46.0,41.0,296.0,445.0,1605.0,1616.0,86.0,83.0,85.0,79.0
122,2023-08-04 15:56:52,50.7916556,3.6207573,38.0,36.0,179.0,238.0,800.0,796.0,86.0,86.0,82.0,82.0
122,2023-08-04 14:51:51,50.8839455,3.632407,36.0,37.0,175.0,213.0,803.0,799.0,90.0,86.0,87.0,84.0
122,2023-08-04 15:50:53,50.7421759,3.6020808,39.0,30.0,196.0,269.0,798.0,805.0,79.0,78.0,74.0,78.0
122,2023-08-04 05:31:21,50.815032,3.8282943,37.0,36.0,345.0,441.0,1499.0,1498.0,82.0,83.0,81.0,81.0
122,2023-08-04 15:25:55,50.7421756,3.602089,41.0,31.0,186.0,248.0,798.0,797.0,78.0,81.0,82.0,80.0
122,2023-08-07 06:31:10,51.016811,3.6758713,42.0,36.0,165.0,220.0,795.0,800.0,90.0,85.0,89.0,90.0
122,2023-08-06 23:59:03,50.8562055,3.6076217,17.0,18.0,345.0,365.0,788.0,801.0,51.0,62.0,38.0,50.0
122,2023-08-07 14:02:39,51.016034,3.7732965,28.0,30.0,196.0,272.0,798.0,802.0,80.0,80.0,76.0,74.0
122,2023-08-07 03:14:09,50.8562201,3.6075861,18.0,26.0,189.0,265.0,800.0,799.0,80.0,80.0,79.0,79.0
122,2023-08-07 03:01:14,50.855869,3.6071827,20.0,26.0,189.0,265.0,797.0,794.0,80.0,80.0,79.0,77.0
122,2023-08-07 04:08:14,50.8559113,3.6071917,17.0,26.0,193.0,269.0,799.0,804.0,80.0,80.0,78.0,78.0
122,2023-08-07 04:10:15,50.8559014,3.6071953,17.0,26.0,193.0,269.0,795.0,804.0,80.0,80.0,79.0,78.0
122,2023-08-07 05:17:08,50.7423568,3.6026532,34.0,34.0,182.0,241.0,800.0,802.0,80.0,80.0,82.0,84.0
122,2023-08-07 13:26:29,51.01588,3.7738177,27.0,27.0,269.0,351.0,800.0,799.0,65.0,65.0,56.0,55.0
122,2023-08-08 11:06:21,51.0363683,3.7085882,31.0,34.0,189.0,258.0,801.0,798.0,80.0,79.0,79.0,80.0
122,2023-08-08 06:33:22,50.7795178,3.8746462,41.0,39.0,175.0,248.0,796.0,859.0,83.0,88.0,84.0,87.0
122,2023-08-09 13:01:47,51.0359708,3.7101162,31.0,34.0,217.0,296.0,777.0,798.0,75.0,76.0,68.0,66.0
122,2023-08-09 16:31:54,50.93622875,3.77815795,37.0,42.0,296.0,420.0,1499.5,1499.0,86.0,85.0,95.0,90.0
122,2023-08-09 02:11:18,51.0399807,3.6949655,30.0,30.0,200.0,265.0,797.0,801.0,80.0,80.0,77.0,76.0
122,2023-08-09 13:13:59,51.0033219,3.7960036,40.0,38.0,348.0,434.0,1499.0,1497.0,85.0,88.0,87.0,86.0
122,2023-08-09 14:20:24,50.8681529,3.8142243,40.0,40.0,303.0,431.0,1491.0,1496.0,85.0,87.0,85.0,86.0
122,2023-08-09 04:50:37,50.7422095,3.6020447,42.0,33.0,182.0,244.0,802.0,795.0,79.0,82.0,82.0,82.0
